Time,Wind(knotsbft),Gust(knotsbft),Wind Direction(deg)
08/14 20:11:50,6.2,7,19
08/14 20:13:50,4.3,6,8
08/14 20:15:50,5.6,7,68
08/14 20:17:50,4.7,5.1,17
08/14 20:19:50,5.1,6,43
08/14 20:21:50,4.5,6,46
08/14 20:23:50,4.9,6,49
08/14 20:25:50,4.3,5.1,16
08/14 20:27:50,4.5,6,49
08/14 20:29:50,5.2,6,32
08/14 20:31:50,4.3,5.1,57
08/14 20:33:50,4.1,5.1,40
08/14 20:35:50,3.7,5.1,26
08/14 20:37:50,3.7,5.1,57
08/14 20:39:50,2.9,3.9,46
08/14 20:41:50,2.7,2.9,65
08/14 20:43:50,2.9,2.9,21
08/14 20:45:50,2.5,2.9,19
08/14 20:47:50,2.7,2.9,47
08/14 20:49:50,2.3,2.9,48
08/14 20:51:50,2.1,2.9,55
08/14 20:53:50,1.9,1.9,55
08/14 20:55:50,1.4,1.9,55
08/14 20:57:50,2.1,2.9,55
08/14 20:59:50,1.6,1.9,55
08/14 21:01:50,1.6,1.9,56
08/14 21:03:50,5.2,7,191
08/14 21:05:50,8.4,8.9,180
08/14 21:07:50,7,8.9,205
08/14 21:09:50,5.6,6,189
08/14 21:11:50,5.1,6,171
08/14 21:13:50,6.6,8,208
08/14 21:15:50,6,8,210
08/14 21:17:50,7.2,8.9,199
08/14 21:19:50,5.6,7,219
08/14 21:21:50,5.2,7,197
08/14 21:23:50,3.7,5.1,188
08/14 21:25:50,2.5,3.9,175
08/14 21:27:50,5.6,8,212
08/14 21:29:50,5.1,6,195
08/14 21:31:50,3.5,5.1,223
08/14 21:33:50,4.7,6,205
08/14 21:35:50,5.1,6,225
08/14 21:37:50,6.4,8,212
08/14 21:39:50,6.6,8.9,201
08/14 21:41:50,7.4,8.9,222
08/14 21:43:50,6,7,197
08/14 21:45:50,6.2,8.9,215
08/14 21:47:50,6.4,8,217
08/14 21:49:50,13.2,15.9,191
08/14 21:51:50,14,16.9,203
08/14 21:53:50,14.2,16.9,199
08/14 21:55:50,9.9,12.8,223
08/14 21:57:50,8.9,11.9,215
08/14 21:59:50,11.1,13.8,218
08/14 22:01:50,12.2,15.9,238
08/14 22:03:50,13.8,17.9,240
08/14 22:05:50,14.8,16.9,230
08/14 22:07:50,11.5,15.9,235
08/14 22:09:50,11.7,13.8,266
08/14 22:11:50,11.3,15.9,260
08/14 22:13:50,10.3,11.9,256
08/14 22:15:50,6.8,8,255
08/14 22:17:50,9.9,13.8,260
08/14 22:19:50,6.8,8,265
08/14 22:21:50,2.7,2.9,256
08/14 22:23:50,3.3,3.9,274
08/14 22:25:50,1.6,1.9,274
08/14 22:27:50,3.3,3.9,265
08/14 22:29:50,1.6,1.9,266
08/14 22:31:50,0,0,266
08/14 22:33:50,1.7,2.9,286
08/14 22:35:50,2.1,2.9,287
08/14 22:37:50,2.3,2.9,298
08/14 22:39:50,1,1,298
08/14 22:41:50,3.3,3.9,26
08/14 22:43:50,1.2,1.9,44
08/14 22:45:50,0.6,1.9,43
08/14 22:47:50,0,0,43
08/14 22:49:50,2.5,2.9,43
08/14 22:51:50,2.1,2.9,44
08/14 22:53:50,3.3,3.9,44
08/14 22:55:50,5.8,7,145
08/14 22:57:50,3.5,3.9,133
08/14 22:59:50,2.9,2.9,132
08/14 23:01:50,2.9,3.9,151
08/14 23:03:50,2.5,2.9,143
08/14 23:05:50,1.2,1.9,140
08/14 23:07:50,1.9,1.9,140
08/14 23:09:50,3.1,3.9,132
08/14 23:11:50,3.3,3.9,147
08/14 23:13:50,3.3,3.9,146
08/14 23:15:50,5.2,6,131
08/14 23:17:50,4.3,5.1,126
08/14 23:19:50,2.1,2.9,125
08/14 23:21:50,2.1,2.9,120
08/14 23:23:50,2.7,2.9,103
08/14 23:25:50,2.3,2.9,92
08/14 23:27:50,3.3,3.9,96
08/14 23:29:50,2.1,2.9,99
08/14 23:31:50,1.2,1.9,99
08/14 23:33:50,1.2,1.9,100
08/14 23:35:50,0,0,100
08/14 23:37:50,0,0,100
08/14 23:39:50,0.2,1,100
08/14 23:41:50,0.2,1,101
08/14 23:43:50,1.2,1.9,100
08/14 23:45:50,1.6,1.9,100
08/14 23:47:50,0,0,100
08/14 23:49:50,1.4,2.9,101
08/14 23:51:50,1,1,101
08/14 23:53:50,3.1,3.9,103
08/14 23:55:50,2.7,3.9,124
08/14 23:57:50,2.3,2.9,128
08/14 23:59:50,0.8,1.9,128
08/15 0:01:50,4.1,5.1,141
08/15 0:03:50,3.5,3.9,140
08/15 0:05:50,2.5,2.9,142
08/15 0:07:50,2.9,3.9,144
08/15 0:09:50,3.5,5.1,155
08/15 0:11:50,6.6,8,136
08/15 0:13:50,5.8,7,123
08/15 0:15:50,9.3,11.9,111
08/15 0:17:50,11.1,12.8,135
08/15 0:19:50,10.7,11.9,141
08/15 0:21:50,6.4,7,130
08/15 0:23:50,14.6,15.9,117
08/15 0:25:50,16.3,19.8,129
08/15 0:27:50,11.9,13.8,124
08/15 0:29:50,12.8,15.9,128
08/15 0:31:50,11.1,12.8,154
08/15 0:33:50,12.8,15,118
08/15 0:35:50,12.4,13.8,131
